k,F1 Score,Accuracy,Precision,Recall
1,0.5365853658536585,0.5615384615384615,0.5238095238095238,0.55
2,0.35955056179775285,0.5615384615384615,0.5517241379310345,0.26666666666666666
3,0.5882352941176471,0.6230769230769231,0.5932203389830508,0.5833333333333334
4,0.4848484848484849,0.6076923076923076,0.6153846153846154,0.4
5,0.5137614678899083,0.5923076923076923,0.5714285714285714,0.4666666666666667
6,0.4693877551020408,0.6,0.6052631578947368,0.38333333333333336
7,0.5094339622641509,0.6,0.5869565217391305,0.45
8,0.4791666666666667,0.6153846153846154,0.6388888888888888,0.38333333333333336
9,0.5192307692307692,0.6153846153846154,0.6136363636363636,0.45
10,0.4848484848484849,0.6076923076923076,0.6153846153846154,0.4
11,0.5840707964601771,0.6384615384615384,0.6226415094339622,0.55
12,0.5471698113207547,0.6307692307692307,0.6304347826086957,0.48333333333333334
13,0.5309734513274337,0.5923076923076923,0.5660377358490566,0.5
14,0.5046728971962617,0.5923076923076923,0.574468085106383,0.45
15,0.5663716814159292,0.6230769230769231,0.6037735849056604,0.5333333333333333
16,0.5321100917431193,0.6076923076923076,0.5918367346938775,0.48333333333333334
17,0.5593220338983051,0.6,0.5689655172413793,0.55
18,0.509090909090909,0.5846153846153846,0.56,0.4666666666666667
19,0.5811965811965812,0.6230769230769231,0.5964912280701754,0.5666666666666667
20,0.4954128440366973,0.5769230769230769,0.5510204081632653,0.45
21,0.5344827586206896,0.5846153846153846,0.5535714285714286,0.5166666666666667
22,0.509090909090909,0.5846153846153846,0.56,0.4666666666666667
23,0.5517241379310344,0.6,0.5714285714285714,0.5333333333333333
24,0.5185185185185186,0.6,0.5833333333333334,0.4666666666666667
25,0.5565217391304348,0.6076923076923076,0.5818181818181818,0.5333333333333333
