Iteration,F1 Score,Accuracy,Precision,Recall
20,0.628099173553719,0.6538461538461539,0.6229508196721312,0.6333333333333333
21,0.6178861788617885,0.656934306569343,0.6229508196721312,0.6129032258064516
22,0.6031746031746031,0.6503496503496503,0.6031746031746031,0.6031746031746031
23,0.6106870229007635,0.66,0.6153846153846154,0.6060606060606061
24,0.618705035971223,0.6602564102564102,0.6056338028169014,0.6323529411764706
25,0.6258503401360545,0.6625766871165644,0.6216216216216216,0.6301369863013698
26,0.6143790849673203,0.650887573964497,0.6025641025641025,0.6266666666666667
27,0.6,0.6363636363636364,0.5853658536585366,0.6153846153846154
28,0.6097560975609756,0.6483516483516484,0.6097560975609756,0.6097560975609756
29,0.5942857142857143,0.6243386243386243,0.5777777777777777,0.611764705882353
30,0.5988700564971751,0.6358974358974359,0.5760869565217391,0.6235294117647059
31,0.5888888888888889,0.6336633663366337,0.5760869565217391,0.6022727272727273
32,0.5945945945945945,0.6394230769230769,0.5913978494623656,0.5978260869565217
33,0.5968586387434555,0.641860465116279,0.59375,0.6
34,0.6051282051282051,0.6515837104072398,0.6020408163265306,0.6082474226804123
35,0.6130653266331658,0.6622807017543859,0.6288659793814433,0.5980392156862745
36,0.6039603960396039,0.6581196581196581,0.6161616161616161,0.5922330097087378
37,0.6078431372549019,0.6680497925311203,0.6458333333333334,0.5740740740740741
38,0.5922330097087379,0.659919028340081,0.6421052631578947,0.5495495495495496
39,0.599078341013825,0.65748031496063,0.6190476190476191,0.5803571428571429
40,0.6027397260273971,0.6653846153846154,0.6226415094339622,0.584070796460177
41,0.6106194690265486,0.6704119850187266,0.6330275229357798,0.5897435897435898
42,0.6120689655172413,0.6703296703296703,0.6283185840707964,0.5966386554621849
43,0.6083333333333333,0.6642857142857143,0.6083333333333333,0.6083333333333333
44,0.6141078838174274,0.6748251748251748,0.6166666666666667,0.6115702479338843
45,0.6090534979423868,0.6757679180887372,0.6271186440677966,0.592
46,0.5934959349593495,0.6655518394648829,0.6239316239316239,0.5658914728682171
47,0.5793650793650794,0.6535947712418301,0.6134453781512605,0.5488721804511278
48,0.6023166023166023,0.6698717948717948,0.639344262295082,0.5693430656934306
49,0.5909090909090909,0.6614420062695925,0.639344262295082,0.5492957746478874
50,0.5977859778597786,0.6646153846153846,0.6328125,0.5664335664335665
51,0.5934065934065934,0.6646525679758308,0.627906976744186,0.5625
52,0.604982206405694,0.6715976331360947,0.6296296296296297,0.5821917808219178
53,0.5944055944055944,0.6627906976744186,0.6296296296296297,0.5629139072847682
54,0.6027397260273972,0.6695156695156695,0.6470588235294118,0.5641025641025641
55,0.6066666666666667,0.6694677871148459,0.6319444444444444,0.5833333333333334
56,0.6182965299684543,0.6675824175824175,0.6086956521739131,0.6282051282051282
57,0.6280487804878048,0.6702702702702703,0.5988372093023255,0.6602564102564102
58,0.6227544910179641,0.6657824933687002,0.5977011494252874,0.65
59,0.6153846153846154,0.660574412532637,0.5875706214689266,0.6459627329192547
60,0.6035502958579881,0.6564102564102564,0.5862068965517241,0.6219512195121951
61,0.6011560693641619,0.6515151515151515,0.5810055865921788,0.6227544910179641
62,0.6094182825484764,0.6501240694789082,0.5789473684210527,0.6432748538011696
63,0.6082191780821917,0.6503667481662592,0.5721649484536082,0.6491228070175439
64,0.6016260162601627,0.6466346153846154,0.5692307692307692,0.6379310344827587
65,0.6091644204851753,0.6563981042654028,0.5824742268041238,0.6384180790960452
66,0.6206896551724138,0.6666666666666666,0.5939086294416244,0.65
67,0.6197916666666666,0.664367816091954,0.5920398009950248,0.6502732240437158
68,0.61139896373057,0.6606334841628959,0.5870646766169154,0.6378378378378379
69,0.6030927835051547,0.65625,0.5909090909090909,0.6157894736842106
70,0.6126582278481013,0.6637362637362637,0.5960591133004927,0.6302083333333334
71,0.6014669926650368,0.6464208242950108,0.5668202764976958,0.640625
72,0.6038647342995169,0.6495726495726496,0.573394495412844,0.6377551020408163
73,0.6068965517241379,0.6392405063291139,0.5569620253164557,0.6666666666666666
74,0.5990783410138248,0.6382536382536382,0.5579399141630901,0.6467661691542289
75,0.6049661399548532,0.6406570841889117,0.5583333333333333,0.6600985221674877
76,0.5995525727069352,0.6376518218623481,0.5583333333333333,0.6473429951690821
77,0.598669623059867,0.638,0.5578512396694215,0.645933014354067
78,0.5973451327433629,0.6410256410256411,0.5672268907563025,0.6308411214953271
79,0.5974025974025975,0.6374269005847953,0.5609756097560976,0.6388888888888888
