k,F1 Score,Accuracy,Precision,Recall
1,0.5920000000000001,0.6076923076923076,0.5692307692307692,0.6166666666666667
2,0.5217391304347827,0.6615384615384615,0.75,0.4
3,0.5522388059701493,0.5384615384615384,0.5,0.6166666666666667
4,0.537037037037037,0.6153846153846154,0.6041666666666666,0.48333333333333334
5,0.5669291338582678,0.5769230769230769,0.5373134328358209,0.6
6,0.5811965811965812,0.6230769230769231,0.5964912280701754,0.5666666666666667
7,0.5692307692307693,0.5692307692307692,0.5285714285714286,0.6166666666666667
8,0.5573770491803278,0.5846153846153846,0.5483870967741935,0.5666666666666667
9,0.606060606060606,0.6,0.5555555555555556,0.6666666666666666
10,0.5901639344262295,0.6153846153846154,0.5806451612903226,0.6
11,0.6323529411764706,0.6153846153846154,0.5657894736842105,0.7166666666666667
12,0.59375,0.6,0.5588235294117647,0.6333333333333333
13,0.6518518518518519,0.6384615384615384,0.5866666666666667,0.7333333333333333
14,0.6031746031746033,0.6153846153846154,0.5757575757575758,0.6333333333333333
15,0.6618705035971223,0.6384615384615384,0.5822784810126582,0.7666666666666667
16,0.6141732283464567,0.6230769230769231,0.582089552238806,0.65
17,0.6330935251798561,0.6076923076923076,0.5569620253164557,0.7333333333333333
18,0.6315789473684211,0.6230769230769231,0.5753424657534246,0.7
19,0.6330935251798561,0.6076923076923076,0.5569620253164557,0.7333333333333333
20,0.6153846153846153,0.6153846153846154,0.5714285714285714,0.6666666666666666
21,0.6330935251798561,0.6076923076923076,0.5569620253164557,0.7333333333333333
22,0.6,0.6,0.5571428571428572,0.65
23,0.6423357664233577,0.6230769230769231,0.5714285714285714,0.7333333333333333
24,0.6259541984732825,0.6230769230769231,0.5774647887323944,0.6833333333333333
25,0.6571428571428571,0.6307692307692307,0.575,0.7666666666666667
